"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"sub_9002000001195162LL",0,6.98693,0.05299,2.83825,0,0,13.54991,10.9133,2.35242,0.01227,0.24156,0,0.43523,0,0,0,0,0,0
"sub_9002000001196320LL",0.13845,9.63808,0,3.5002,3.87073,0.00296,1.97613,13.19557,1.01794,0,0,0,0.2606,0,2.13754,0,0.0344,0,0
"sub_9002000001196698LL",0.06601,7.88477,0,3.76009,1.95321,0.04425,0.35445,6.87121,1.68275,0,0.53294,0,1.43013,0,0,0,0,0,0
"sub_9002000001196778LL",0.03142,2.37831,0.02474,3.48587,1.15244,0.06711,1.46495,6.95276,0.72361,0,0,0,0,0,9.05513,0,0,0,0
"sub_9002000001198001LL",0.01924,1.21141,0,6.75272,3.93294,0,2.59588,5.58615,0.25156,0,0.06185,0,0.23641,0,0,0,0,0,0
"sub_9002000001198988LL",0,0.00391,0,0,3.8494,0,22.90149,0.01908,0,0,0,0,0,0,0,0,0,0,0
"sub_9002000001200638LL",0.17084,9.54352,0,3.49056,2.89492,0.01736,0.42499,1.85855,0.90551,0,0.06496,0,0.33978,0,0,0,0,0,0
"sub_9002000001201715LL",0,1.24852,0,0.75502,1.31788,0,0,18.1327,0.02173,0,0.12023,0,0,0,1.24001,0,0,0,0
"sub_9002000001202507LL",0.32544,3.94339,0,5.23372,2.72482,0,4.7673,3.44957,6.34214,0,1.54053,0,0.12052,0,0,0,0,0,0
"sub_9002000001202660LL",0.31377,5.49495,0,5.72254,3.41315,0,2.28672,8.73522,1.344,0,0.36213,0,0.38417,0,0,0,0,0,0
"sub_9002000001202875LL",0,11.21186,0,7.39087,5.33496,0,6.73274,4.71514,2.75387,0,0,0,0.24974,0,0,0,0.032,0,0
"sub_9002000001203460LL",0.02909,3.07356,0,1.22373,0.5505,0,2.82249,5.17792,4.82652,0,0.12212,0.03632,0.11852,0,0,0,0,0,0
"sub_9002000001203943LL",1.04671,4.20441,0,11.34031,3.38008,0.02029,0.71471,2.18465,1.99122,0,0.49673,0,0.0747,0,0,0,0,0,0
"sub_9002000001204691LL",0,8.95788,0.05903,3.64216,4.69735,0.08526,4.6094,3.83417,1.33959,0,0.34258,0,0,0,0,0,0,0,0
"sub_9002000001205607LL",0.04687,0.37011,0,0.00568,0.0594,0,0.47213,8.9351,0.73927,0,0.41276,0,0,0,6.68578,0,0,0,0
"sub_9002000001206023LL",0.10216,9.22185,0.30966,6.55604,3.89361,0,3.745,6.00517,0.00267,0,1.22781,0,1.26233,0,0,0,0,0,0
"sub_9002000001206364LL",0,0,0,12.06417,1.00079,0,18.77093,0,0,0,0,0,0,0,0,0,0,0,0
"sub_9002000001206696LL",0,0.00159,0,3.57081,0,0,7.29545,8.76765,0,0,0,0,0.45194,0,3.4082,0.09808,0,0,0
"sub_9002000001206711LL",1.03621,11.32455,0.61284,6.37891,1.33986,0.00539,0.78581,4.7753,1.37009,0,0.16274,0,0,0,3.39088,0,0,0,0
"sub_9002000001207165LL",0.04367,14.04702,0,9.09179,4.3139,0,4.45415,10.58959,1.27103,0,0,0,0.3838,0,0,0,6.75388,0.00103,0
"sub_9002000001207989LL",0.53147,8.2086,0,3.84916,1.86614,0,3.25161,0,5.48804,0,0.05077,0,0.07924,0,0,0,0,0,0
"sub_9002000001208028LL",0.00794,9.87345,0,1.35185,4.84321,0,5.50018,8.63628,7.98726,0,0.00363,0,0.25968,0,4.36003,0,0,0,0
"sub_9002000001208331LL",0.02475,11.05607,0,8.15563,2.88661,0,1.92506,6.5824,0.90757,0,0,0,0.71315,0,0,0,0,0,0
"sub_9002000001208583LL",0.08745,6.82785,0.04517,2.74374,3.74712,0,4.28033,10.30399,1.66844,0,0.02145,0,0.4289,0,2.9768,0,1.4456,0,0
"sub_9002000001208627LL",0,7.8246,0,4.59875,5.76026,0,1.73135,9.96464,2.36127,0,0.10035,0,0.15412,0.02764,0,0,0,0,0
"sub_9002000001209007LL",0.01142,3.37665,0,7.28084,8.60466,0,0.33312,8.02826,3.75388,0,0.11965,0,0.05931,0.00432,0,0,0,0,0
"sub_9002000001209357LL",1.56388,8.01471,0,4.60469,3.95003,0,14.95614,0.01829,2.40745,0,0,0,0.22592,0,0,0,1.66851,0,0
"sub_9002000001209698LL",0.04476,8.78037,0,4.52892,3.04985,0,4.84185,4.87286,3.52142,0,0.11861,0,1.32724,0,2.04702,0,0.08561,0,0
"sub_9002000001210554LL",0.053,1.93849,0,14.43286,5.75354,0.02525,2.81766,9.03698,1.31306,0,0.30368,0,0.07877,0,0,0,0,0,0
"sub_9002000001210705LL",0.00679,5.29293,0.02661,4.66522,3.79791,0,3.08994,10.486,2.60387,0,0.01654,0,0.29472,0,0,0,0.04903,0.03445,0
"sub_9002000001211023LL",0.11632,8.19695,0,2.74565,1.27542,0,1.97035,4.48633,0.91373,0,0.01462,0,0.12283,0,0,0,0,0,0
