"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"IBD_88",0,1.13565,0,0.02924,0.00757,0.78285,0,0.17305,0.08498,0,0,0,0,0,0,0,0,0,0
"IBD_89",4.92077,0.08545,0,0.14969,0.22421,0,0,0,1.17836,0,0,0.01998,0,0,0,0,0,0,0
"IBD_90",2.32611,2.60573,0.40951,0.19155,0,0.24178,0.16814,0.05362,0.03591,0,2.80511,0,0,0,0,0,0,0,0
"IBD_91",0.26882,2.90601,0,0.33351,0.46244,0,0.57645,0.09518,0.02058,0,0.12265,0,0.02896,0,0.00124,0,0,0,0
"IBD_92",16.47612,1.41379,1.51147,0.26724,0.13065,0.07622,0.19688,0,0,0,2.94105,0,0,0,0,0,0,0,0
"IBD_93",0.09052,0.42663,0,0,0,0,0,0,0,0,0.00528,0,0,0.13191,0.07246,0.19342,0.64684,0.1072,0
"IBD_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38688,0.44577,3.88838,1.64127,0
"IBD_95",0,0,0,0.10164,1.33676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_96",1.40518,0.00372,0,0.07828,0.51449,0.00248,0,0,0.69433,0.03612,0,0,0,0,0,0,0,0,0
"IBD_97",1.59509,0,0,1.04721,0.11268,0.05167,0,0,0.51027,0,0,0,0,0,0,0,0,0,0
"IBD_98",1.98439,0.06024,0,0.66483,0.06518,0.18795,0,0,0.55517,0,0.04186,0,0,0,0,0,0,0,0
"IBD_99",0.79476,0,0,0.48821,0.06622,0.14596,0,0,0.44775,0,0,0,0,0,0,0,0,0,0
"IBD_100",2.20405,0,0,1.79284,0.61452,0.29667,0,0,3.32274,0.00166,0,0,0,0,0,0,0,0,0
"IBD_101",0.95179,14.03588,0.30722,0.49353,0,0.42347,0.12495,0.23429,0.10348,0,1.14007,0,0,0,0,0,0,0,0
"IBD_102",0.38791,10.53728,0.41081,0.4414,0,0.46391,0.12207,0.1062,0.06427,0,2.93667,0,0,0,0,0,0,0,0
"IBD_103",0.81967,6.2595,0.25026,2.08294,0,0.50871,0.07344,0.14327,0.11615,0,2.19605,0,0,0,0,0,0,0,0
"IBD_104",0.651,4.47957,0.91682,0.54077,0,0.45837,0.05941,0.00802,0.09273,0,3.04688,0,0,0,0,0,0,0,0
"IBD_105",0.90062,4.18245,0.51337,0.63765,0,0.90004,0.03767,0.15355,0.13322,0,2.30043,0,0,0,0,0,0,0,0
"IBD_106",1.49607,2.25804,0,0.36753,0.19306,0,0.04299,0.02471,0,0,0.0718,0,0.01384,0,0,0,0,0,0
"IBD_107",2.51775,2.19242,0,0.15697,0.03056,0.01919,0.21131,0.03145,0.01018,0,0.82914,0,0.01111,0,0,0,0,0,0
